Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
D3,LED,LEDs:LED_0805,http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf,Lite-On,LTST-C171KRKT,160-1427-1-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171KRKT/160-1427-1-ND/386800,-,http://www.digikey.com/products/en/optoelectronics/led-indication-discrete/105?k=&pkeyword=&pv1989=0&pv37=1&pv1843=2&pv16=6&FV=ffe00069&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
D4,LED,LEDs:LED_0805,http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf,Lite-On,LTST-C171KRKT,160-1427-1-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171KRKT/160-1427-1-ND/386800,-,http://www.digikey.com/products/en/optoelectronics/led-indication-discrete/105?k=&pkeyword=&pv1989=0&pv37=1&pv1843=2&pv16=6&FV=ffe00069&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R2,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R3,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R4,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R5,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R6,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R7,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R8,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R9,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
